[47300/100000] batch loss : 0.6076 | time : 4.81s
[47400/100000] batch loss : 1.5800 | time : 4.78s
[47500/100000] batch loss : 0.6392 | time : 4.97s
[47600/100000] batch loss : 0.2666 | time : 4.96s
[47700/100000] batch loss : 0.7897 | time : 4.89s
[47800/100000] batch loss : 2.1448 | time : 4.88s
[47900/100000] batch loss : 0.9161 | time : 4.93s
[48000/100000] batch loss : 0.9527 | time : 4.88s
[48100/100000] batch loss : 2.3240 | time : 4.91s
[48200/100000] batch loss : 1.0498 | time : 5.01s
[48300/100000] batch loss : 1.4887 | time : 4.96s
[48400/100000] batch loss : 0.8499 | time : 4.67s
[48500/100000] batch loss : 1.1129 | time : 4.86s
[48600/100000] batch loss : 2.0699 | time : 4.70s
[48700/100000] batch loss : 0.8080 | time : 4.85s
[48800/100000] batch loss : 0.4443 | time : 4.88s
[48900/100000] batch loss : 0.9347 | time : 4.89s
[49000/100000] batch loss : 1.0014 | time : 4.88s
[49100/100000] batch loss : 1.8747 | time : 4.89s
[49200/100000] batch loss : 0.8574 | time : 4.91s
[49300/100000] batch loss : 0.4456 | time : 4.87s
[49400/100000] batch loss : 1.4357 | time : 4.90s
[49500/100000] batch loss : 0.8254 | time : 4.89s
[49600/100000] batch loss : 1.2466 | time : 5.05s
[49700/100000] batch loss : 1.4536 | time : 4.99s
[49800/100000] batch loss : 1.6335 | time : 4.98s
[49900/100000] batch loss : 0.7499 | time : 5.02s
[50000/100000] batch loss : 1.7656 | time : 4.96s
[50001/100000] mean test loss : 9.3390 -> 0.8307 by 1 grad steps
A check point has been generated : checkpoints/iter_50000.pt
[50100/100000] batch loss : 1.7085 | time : 6.18s
[50200/100000] batch loss : 1.2928 | time : 4.85s
[50300/100000] batch loss : 1.4380 | time : 4.63s
[50400/100000] batch loss : 1.9992 | time : 4.63s
